"","title","url","date","thanks","content"
"2174","Nafith Logistics Services PSC",32425,2013-05-29 04:00:00,"Middle East","(i) create employment opportunities;(ii) decrease congestion at gates and berths thus increasing port throughput;(iii) enhance port efficiencies by streamlining operations and hence reducing freight cost;(iv) contribute to government revenues through collection of revenue share on an annual basis;(v) demonstration effect to engender competition."
"2175","BHG",32797,2013-05-29 04:00:00,"Latin America and the Caribbean","- Increasing the supply of competitive price-value business rooms/hotels in first, second and third-tier cities with consistent international quality and safety standards; this should encourage increased tourism, business and MICE travel;- Supporting the economic development of frontier regions of Brazil since a portion of the Project will take place in the Midwest, North and Northeast regions of Brazil, thus helping develop key business-enabling infrastructure in these priority areas;- Creating both direct and indirect jobs as well as providing training and promotion opportunities; the Project is expected to create and 2,500 new direct jobs in the operation stage (and over 4,500 direct jobs during the construction phases), with approximately 45% being for women; indirect jobs along the supply chain are also expected to be significant, including in food supply, transportation, security and other needed services;- Providing management and staff with comprehensive training opportunities, primarily through BHG''s own training center in São Paulo and through additional training centers planned in Rio de Janeiro and Belém; BHG will also continue its social program for convicted criminals by continue offering them in-house training and, in some cases, jobs to support their re-integration into society.- Contributing to the development of the local economy by enhancing upstream and downstream supply linkages with SME vendors serving the needs of both the hotel and guests; in addition, the Project will increase tax revenues and tourist''s spending would help support a wide range of local economic activities;- Adopting sustainable green-building design and construction, ensuring higher levels of energy efficiency; the upcoming new properties would meet IFC''s EDGE Green Building standard; Improved environmental and social performance as BHG''s portfolio of hotels would conform to the World Bank Group''s environmental and social standards, including with regards to life and fire safety; and- Providing a demonstration effect to other potential investors."
"2176","Earthport",32942,2013-05-29 04:00:00,"South Asia","(i)	Reducing cost of migrant remittance: Earthport''s payment platform significantly reduces the cost of cross boarder money transfers through banks. (ii)	Supporting SMEs: Earthport''s solution supports SMEs in developing countries to engage in international trade. Currently, the high cost and delays for international payments create barriers for the small exporters and traders. Earthport will provide them a payment solution which is much faster and at lower cost. (iii)	Financial Inclusion: Because banks do not have efficient systems to transfer small transfers, currently the vast majority of migrant remittances is sent and paid in cash through specialized money transfer operators. Since these operators potentially compete with banks, they have no incentive to encourage senders and recipients to open bank accounts. Earthport''s system for the first time creates a solution that banks can use to effectively offer migrants a competitive money transfer service and compete with the cash-based money transfer companies. Migrants and their families gain a lower cost service and are incentivized to open bank accounts. The solution will also make it commercially feasible or more attractive for the banks to serve low income consumers. Earthport thereby provides a tool to implement the financial inclusion program of banks and governments.  (iv)	Supporting banks in developing countries: The conversion of cash-based remittances into account transfers will increase the deposit base of financial institutions in the receiving developing countries. This makes money available for lending to SMEs, creates hard currency income of the banks to support trade credit, and directs savings and other deposits into bank accounts. At the same time it significantly increases the multiplier effect of remittance flows."
"2177","Odea Bank SME",32915,2013-05-28 04:00:00,"Europe","IFC''s SME credit line would further help the Bank to extend longer term loans to the SMEs and therefore provide sustainable financing to expand their businesses. As the primary beneficiaries of the proposed senior loan would be SMEs, who is lacking access to especially long term finance from banks, the proposed loan is also expected to have positive impacts in terms of job creation and preservation because SMEs are the major source of employment in Turkey.Lastly, IFC''s partnering with Odeabank, a south-south investment, would have an important demonstration impact in terms of motivating other strong sponsors in the region to enter into the Turkish market"
"2178","IFC Global Financial Institutions Fund",33537,2013-05-24 04:00:00,"Global","1. Given that the fund will co-invest in IFC investments, it will support private sector development by increasing access to growth capital for SMEs in Emerging Markets.  2. The fund will further enhance and expand IFC''s development impact by leveraging IFC''s economic capital so that IFC can make more investments and thus expand its developmental reach.3. The fund will also allow IFC to participate in larger ticket transactions which IFC would otherwise not be able to finance from its own balance sheet."
"2179","WCSS Inecobank ASLF",33520,2013-05-24 04:00:00,"Europe","Increased Access to Financing for SMEs: Limited access to finance is considered a key constraint to private sector growth. Increased access to finance is indispensable to grow the competitiveness of SMEs. By directly financing the short term US$ liquidity needs of local banks to support SME trade and foreign currency working capital finance needs, the facility will support SMEs and will have a positive impact on economic activity in Armenia."
"2180","WCSS Unibank ASLF",33521,2013-05-24 04:00:00,"Europe","Increased Access to Financing for SMEs: Limited access to finance is considered a key constraint to private sector growth. Increased access to finance is indispensable to grow the competitiveness of SMEs. By directly financing the short term US$ liquidity needs of local banks to support SME trade and foreign currency working capital finance needs, the facility will support SMEs and will have a positive impact on economic activity in Armenia."
"2181","africaJUICE",33523,2013-05-24 04:00:00,"Africa","1)	Expected to reach at least an incremental 1,000 small scale passion fruit farmers over the next seven years.2)	Significant improvements in local food security.3)	Penetration of fair trade / modern farming practices to the wider producer base in Ethiopia.4)	Development of improved natural resource management techniques, especially water utilization.5)	Contribution to wider regional development in terms of jobs, infrastructure, education, health and other socio-economic parameters."
"2182","Velocity",32357,2013-05-23 04:00:00,"Africa","1)	Additional and steady income for 5,000+ dairy farmers in the Oromiya region of Ethiopia.2)	Positive incentives for farmers to invest in their livestock and increase their yields.3)	Introduction of healthy, safe dairy products and a resulting increased food safety.4)	Large-scale employment (250+ full-time employees) as well as further  jobs in the adjacent business areas.5)	Increased competition in the Ethiopian dairy industry.6)	Economic development of a sector of pivotal importance to rural and urban economic development."
"2183","DBL Group",31357,2013-05-22 04:00:00,"South Asia","1.	Job creation: The Project will create 850 new direct jobs, as well as temporary jobs during construction. Since dyeing and finishing is physical labor-intensive process, most of the employees will be male. However, being the first state-of-art dyeing facility of the country, the Company will diversify local workers'' skill-set and trigger learning curve on textiles dyeing operation. Moreover, the factory will adhere to international occupational, health and safety standards, thereby, offering better environment to improve workers'' quality of life. 2.	Technology transfer: DBL intends to adopt global best practices in terms of lean manufacturing concepts, factory efficiency, worker productivity and energy efficiency, which will set an important example for  and potentially elevate productivity and efficiency standards of the overall industry. 3.	Boost local competitiveness: The Project is expected to boost Bangladesh''s knit apparel industry competitiveness by enhancing local dyeing and finishing capacity, which will enable DBL and other similar Groups to move towards higher value products. 4.	Benefit to the government: The Project will generate tax revenues for the Government of Bangladesh."
"2184","Avantel LTE",33688,2013-05-22 04:00:00,"Latin America and the Caribbean","- Productivity enhancement/Economic growth: Broadband directly contributes towards improving private sector productivity and has a transformative effect on economic and social development. The contribution of broadband connectivity to economic growth and as an enabler to other innovative business models (e-health, e-education, e-commerce etc.) is widely accepted. The World Bank Group''s ""Information and Communications for Development report"" 2009 sites a 1.38% increase in economic growth in low- and middle-income economies for each 10% increase in broadband penetration. Recognizing this, the Colombian government has recently launched several initiatives to increase broadband penetration in the country, one of which is ""Live Digital"" (""Vive Digital""), which aims to increase Colombia''s internet connections to 8.8 million by 2014.  - Innovation/International competitiveness: Broadband enables access to ideas and idea exchange globally, thus transforming research and development. It facilitates trade in services and globalization and improves countries'' competitiveness. According to the World Economic Forum report, ""The Global Information Technology Report 2010-2011"", there is a direct correlation between the Network Readiness Index, which measures the use and development of ICTs and countries'' international competitiveness.- Improved performance of social services: Availability of broadband improves public services and enhances national business environment and competitiveness. Access to broadband and consequently to greater data transparency and mobility also strengthens the ability to monitor service delivery and accountability in health, health insurance system for the poor, education, early childhood development etc.- Reducing poverty/unemployment: The Colombian Ministry of ICT in its ""Live Digital"" initiative values the direct correlation between internet penetration, employment generation and poverty reduction. The Ministry sites a study by Raul Katz from Colombia University which cites that in Chile a 10% increase in Internet penetration led to a reduction of unemployment by 2%. According to a UNCTAD ""Information Economy Report"" for 2010, in developing countries such as the Philippines and India, for each job created in the ICT industry between 2 and 3.5 additional jobs in the economy were generated.- Competitive Environment: The project wil contribute to competition in a higly concentrated market while promoting broader product offerings and higher quality of service."
"2185","La Huayca II",33192,2013-05-21 04:00:00,"Latin America and the Caribbean","The IFC investment will: (i) provide a critical global demonstration effect of the viability of financing a solar merchant power project with no feed-in tariffs; (ii) enable the implementation of utility-scale zero-emission technology power generation sources, decreasing overall emissions of CO2 and GHG; and (iii) continue IFC''s track record of providing developmental impact in Chile through the implementation of innovative projects with potential for replication, initially in the small hydro and wind sector and now in the solar sector.  If successful, this investment could greatly open up the market for rapid development of solar energy in the country."
"2186","Essilao",32557,2013-05-20 04:00:00,"East Asia and the Pacific","- Technology transfer: The project will bring Best-in-Class technology and manufacturing processes to LAO PDR, an IDA country with GDP/Capita of $1,101/year. Essilor applies the highest standard through standard operating procedures that are applied in each of its plants globally.- Creation of skilled jobs: The project will bring up to 250 jobs in the local area.- Human development: Essilor established a partnership with a local vocational training center and setup a workshop to train 50 to 60 operators and technicians every year to feed the plant''s  needs.- Demonstration effect for foreign Direct Investment (FDI): Essilor is the first large scale multinational corporation to have signed for a large investment on the Savannakhet Special Economic Zone,  and one the few MNCs investing in manufacturing in Lao P.D.R.  - Energy efficiency: the new plant will apply Essilor''s highest standards in terms of energy efficiency."
"2187","Fiba Sub Loan",32669,2013-05-20 04:00:00,"Europe","The project aims at supporting a mid-tier, well managed bank in Turkey through strengthening its capital base. With increased capitalization, the Bank will be able to implement its growth strategy with a focus on the underserved SME segment in Turkey."
"2188","SunEdison CAP",33191,2013-05-20 04:00:00,"Latin America and the Caribbean","1. Increasing Chile''s renewable energy output, and helping the country meet its renewable energy targets, including by diversifying its energy mix; 2. Providing a global demonstration effect of the viability of financing a truly large-scale solar power project under a PPA scheme with no feed-in tariffs ;3. Enable the implementation of utility-scale zero-emission power generation, decreasing overall emissions of CO2 and GHG."
"2189","BVCF III",33495,2013-05-20 04:00:00,"East Asia and the Pacific","The Fund is expected to deliver strong development impact as it would: (i) help the companies it invests in grow faster and more sustainable, through hands-on managerial and operational involvement, than they would otherwise do; (ii) support the job creation of the fast-growing healthcare companies, including woman employment; (iii) help ensure implementation of best practice governance, including the IFC Environmental and Social (E&S) Standards, in the Fund's investee companies; and (iv) facilitate the transfer of important knowledge and skills to local entrepreneurs that will improve their competitiveness in the global marketplace."
"2190","Orange",33421,2013-05-17 04:00:00,"Latin America and the Caribbean","i) Financial Inclusion:  There is a significant need in Brazil for health insurance. With a penetration of 25% of the total population, coupled with current demographic trends, the country needs to increase access to health insurance in the short to medium term. This situation is particularly pressing in less developed regions of the country such as the North and Northeast, where penetration levels are 50% of those in the south of the country. The Company is also increasingly providing insurance to individuals through SMEs, the fastest growing segment in its health insurance business.  Sul America''s plan to grow its health and dental business is expected to contribute to solving the shortage of health insurance in Brazil and hence positively contributing to the development of the country. ii) Insurance Sector Improvements:  There is significant potential impact from regulatory intervention on insurance and health sector in Brazil; policy and regulation will need to adapt so that private health care offerings can expand to meet increased demand as demographic changes in Brazil will make health care a major fiscal challenge. In this context, the company''s plan to grow its health insurance premiums by approximately 13% per year will over the next five years contribute to the appropriate evolution of this sector and continue to support government efforts in meeting these challenges.iii) Improve Market Practices:  The Company intends to further improve its health and motor claims handling process from an industry-leading 85% of claims settled in 3 months to 90% of claims settled in 2 months. Over time, other market participants would need to perform at a similarly high level, which could result in increased system efficiency, better service and customer satisfaction."
"2191","SunEdison Merchant",33456,2013-05-17 04:00:00,"Latin America and the Caribbean","1. Increasing Chile''s renewable energy output, and helping the country meet its renewable energy targets, including by diversifying its energy mix; 2. Providing a global demonstration effect of the viability of financing a merchant power project with no feed-in tariffs;3. Enable the implementation of utility-scale zero-emission power generation, decreasing overall emissions of CO2 and GHG."
"2192","Elif Egypt",33338,2013-05-15 04:00:00,"Africa","-The project will:- Create 300 direct employment at the production facility and an additional 200-300 indirect jobs in Egypt, plus several hundred temporary jobs tied to the construction period.- Generate fiscal benefits through increased taxes.- Support Egyptian economy in foreign trade balance in terms of both decreased import and increased export.- Procure from local suppliers and support them.- Bring manufacturing management and technical know-how to Egypt and leverage sectors it serves.- Will help to provide timely delivery to the customers and develop the industry in Egypt.- Will have the capability to manufacture from recycled materials"
"2193","Parag Dairy",33134,2013-05-14 04:00:00,"South Asia","Improvement in food safety standards & technology: In India majority of the milk & milk products have very poor traceability till farm level. Also contamination and adulteration of milk is common owing to significant supply-demand gap and lack of extensive cold chain network. An organized sector player like Parag will help improve food safety standards. Also, Parag is ahead in technology as compared to other players in the Indian dairy sector. Enhanced supply chain linkage with farmers and food suppliers: Parag currently collects milk from ~60,000 farmers directly or through third parties and is focusing on growing the procurement network by setting up more chilling centers and bulk coolers. This increased demand of milk will lead to increase in number of farmers in the supply chain. It will also support other input suppliers to the industry including feed and veterinarian suppliers.Development of medium and small enterprises: Parag distributes its products through 60+ super-stockists, 1,000+ distributors and over 120,000 retail outlets thus having a far reaching impact on supporting medium and small enterprises across the country. Improved incomes in rural and peri-urban areas: The project will create direct and indirect employment and result in other development benefits such as linkages with local suppliers, as also seen in our previous project with Pran Dairy, Bangladesh. Also, Parag sells cows from its own dairy farm to the local population after the cow has its 5th / 6th lactation. These are superior breed cows with yields better than those reared locally and will hence help improve rural incomes.Supporting growth/guiding the critical Indian dairy industry: Expecting a shortfall in supply and to improve yields, NDDB expects a gradual increase in the share of the organized sector to 60% from the current share of 30%. IFC investment will help this medium sized dairy Company to expand rapidly and develop best practices to increase yield that would be disseminated down to farmers who form a critical link in Company''s supply chain."
"2194","AAR Healthcare",33419,2013-05-14 04:00:00,"Africa","i) Access to healthcare - the project will expand access to quality inpatient and outpatient healthcare ii) Demonstration effect - the African health sector is fragmented which results in inconsistent quality and higher costs. The Company will act as a consolidator in the sector and if succesful will attract other investors to employ similar strategies, thereby improving quality and reducing healthcare costs.iii) Job creation - the project will create jobs at the new facilities.iv) South-South investment - Kenya has the most advanced private health sector in East Africa. The Company has transferred skills and capital from Kenya into neighbouring Uganda and Tanzania and the proposed expansion will enable the Company to continue and expand upon this transfer."
"2195","Tetri Qudi",32807,2013-05-14 04:00:00,"Europe","The proposed Project has significant development impact including the following:- Supporting development of agribusiness sector: The Project will expand the Company`s operations in agribusiness, improve its competitiveness, and will support import substitution of mushroom products in Georgia.- Job creation: Direct and indirect job creation and preservation outside Tbilisi, the capital of Georgia, where the job opportunities are scarce.- Food Security: The Project will support food security in an IDA country.- Increased tax payments: Generating additional amount of taxes to be paid to the State.- Supply chain linkages: Growth of the Company will require increased level of economic activity with farmers, distributors and retailers."
"2196","Circle Oil",32571,2013-05-13 04:00:00,"Middle East","Contribution to Government Revenues: The Project is expected to result in higher and longer production in Egypt and Morocco, positively impacting the revenues that the host governments will receive including through production sharing, royalties, corporate taxes.	Providing Cleaner Source of Energy to the Moroccan Industry: Circle Oil is the largest gas producer in Morocco and sells the produced gas to industrial consumers in Kenitra. Those consumers'' only other energy alternatives are imported coal or fuel oil /diesel. Natural gas produced by Circle Oil provides cheaper and cleaner energy. Local Industry: The project is expected to contribute to local spending in Morocco and Egypt as part of the field services and operational supplies will be procured domestically. Particularly in Morocco, Circle Oil will contribute to the growth of a small, nascent, oil field services industry which is vital for further exploration and development of the country''s oil and gas resources.Creation/preservation of employment: Even though the project''s impact on employment is expected to be limited, the jobs created by Circle Oil are mainly high skilled and therefore contribute to local skill development and foster technology transfer."
"2197","DARP APS",33235,2013-05-13 04:00:00,"Europe","- Economic Development: The successful implementation of the project will improve the secondary market for distressed assets and could catalyse investment interest on the part of other investors.  - Business Environment: As financial intermediaries increase the sale of their NPLs to independent private investors, bank balance sheet transparency increases.  Assets priced at market serve as a reference for true asset values on balance sheets as well as in the system.- Financial Infrastructure: IFC''s involvement in this Project would positively impact the market place by building capacity of the financial markets in ECA and, in particular, the Balkans. The Project is expected to increase the ability of financial intermediaries to offload their assets."
"2198","Viking Services BV",32036,2013-05-12 04:00:00,"Middle East","i. Development of the hydrocarbon sector in Turkey and Iraq: The Thrace Basin in Turkey is the country''s largest producing gas province providing opportunities for gas exploration. Any gas produced in the Thrace Basin is going to be used domestically. Being the main private oil services company in Turkey, the company will help oil and gas operators develop indigenous hydrocarbon resources and thus contribute to the country''s goals of reducing energy dependence and displacing other fuels with natural gas. As Iraq hopes to significantly boost its output capacity which continues to be crucial for the country''s economic recovery, the company''s oilfield services are an important contribution to sector development in the region it operates. ii. Increased competition in the service sector: The company''s competition in Turkey is generally of poor quality and high cost. Through establishing and expanding its operations, the company will aim to provide more competitive pricing for its services, and offering improved quality and response times in Turkey.iii. Employment and training: The company currently employs an international workforce of roughly 1,100,  almost 90% of which are local hires.   Viking has been actively developing local talent and hiring locally has been key in its community engagement strategy.  If it is successful in its expansion plans, it is expected to need additional employees in its markets of operations. Creating and preserving jobs in the sector that currently lacks qualified providers will have positive benefits for these markets in helping create local expertise through employment and training."
"2199","Marriott Haiti",32421,2013-05-10 04:00:00,"Latin America and the Caribbean","The Project''s development impact is expected to include:- Development of business infrastructure of international standard in Port au Prince.- Creation of a significant number of jobs during the construction and operational phase. - Generation of downstream and upstream local supply linkages with the rest of the economy.- Increase of direct tax revenues by the government.- Improved environmental and social performance, including demonstration of solar water heating."
"2200","Finca Armenia",33625,2013-05-10 04:00:00,"Europe","IFC''s long-term financing is expected to bring high development impact by enhancing Finca Armenia''s capacity to support productive micro enterprises, resulting in higher growth, employment generation and poverty reduction."
"2201","Fortis Healthcare Ltd",33057,2013-05-08 04:00:00,"South Asia","1) Inclusive growth: Fortis'' expansion plans include increasing the number of operational beds in Tier II/III cities, which currently lack good healthcare facilities. The project would improve the standards for clinical and managerial practices in these underserved areas. 2) Reach: The Company will be able to increase the number of patients treated substantially through its proposed expansion. 3) Jobs: Fortis employs over 22,000 people and with the Company increasing capacity, job additions will be significant.  Further, a substantial portion of its employees are women;4) Knowledge transfer/demonstration effect: The Company will bring best managerial and clinical practices to underserved markets;"
"2202","Garden City Kenya",32887,2013-05-08 04:00:00,"Africa","- Urban development: The Project will support the expansion of the city of Nairobi by addressing the need for additional residential housing and modern retail infrastructure in the suburbs along the new Thika highway. - Provision of modern retail infrastructure:  The Project will provide a modern and innovative shopping centre expected to be the reference in Kenya and East Africa and also attract reputable international retailers to Kenya.- Access to property: The Project will provide Citizens with the opportunity to have access not only to modern residential units but also to improved quality of life as the Project will also develop a leisure park and recreational areas for families and children.- Job creation: The Project will create direct and indirect jobs both during and after project implementation.- Benefits to local suppliers: The Project will provide business opportunities to local subcontractors, property service companies and other suppliers of goods and services during and after project implementation. - Increased tax revenues: The Project will generate tax revenue to the Government of Kenya.- Development of the private sector: The Project will stimulate two key sectors of the economy, retail and property, with multiplier effects on other important segments of the economy (transport, food processing, banking/mortgage finance)."
"2203","SSL Bosnia III",33387,2013-05-07 04:00:00,"Europe","IFC''s investment in SSL continues to have a strong demonstration effect as SSL has become an example of a successful privatization and foreign direct investment in Bosnia and Herzegovina, an IDA country. The new project will help enhance SSL''s turnaround and competitiveness through economies of scale and improvements in energy and resource efficiency. SSL is one of the largest employers in the Tuzla area (approximately 550 people) and generates significant employment at the local brine and limestone mines."
"2204","Fullerton II",33410,2013-05-07 04:00:00,"East Asia and the Pacific","Expanding Access to Finance for MSEs: Micro and Small Enterprises (""MSEs"") play an important role in creating employment and contributing to local economy particularly in less developed regions. Nevertheless, MSEs are under-served by traditional financial institutions. The expansion of the Companies will help address the issue by increasing credit supply accessible and affordable by MSEs;Supporting Economic Growth in Frontier Regions: Frontier regions in China have experienced much pronounced difficulties in access to finance for MSEs, which hinders the economic growth in these regions. The Companies, operating in two large frontier provinces, i.e., Chongqing and Hubei, will expand access to credit in these regions, specifically to MSEs, thereby supporting the continued growth of the local economy."
"2205","DARP Fortress",32539,2013-05-03 04:00:00,"East Asia and the Pacific","-	Market development: The successful implementation of the project could spark the interest of other DA market players and evolve into a common practice;-	Best practices: As part of the project IFC would promote international insolvency standards, creditors'' rights and collection practices for the resolution of the distressed assets; and-	Replication: Through this project, IFC would be helping to assign a market value to a NPL portfolio and distressed assets.  If successful, the proposed project has the potential to be replicated by other entities in the other region."
"2206","TRM Convertible Loan",33643,2013-05-03 04:00:00,"East Asia and the Pacific","Increasing access to a suite of financial services including savings, credit and insurance to Timor Leste''s underserved Microenterprises and SMEs with particular focus on women-owned MSMEs.Creating a demonstration effect for private investors by showing that commercial MFIs in a post-conflict environment like Timor-Leste can be financially sustainable."
"2207","Vision CL PYG",33155,2013-05-03 04:00:00,"Latin America and the Caribbean","- Enhance access to finance for MSMEs.  The Project will allow the Bank to provide its clients access to funding in Guaranies with longer maturities, enabling them to undertake investment projects with more appropriate financing structures;- Generate a demonstration effect.  The Project is expected to create a demonstration effect for other banks by increasing the level of sophistication of the Paraguayan financial system and the BCP, through the greater use of cross-currency swaps, further enhancing IFC's developmental impact in Paraguay; and- Help expand Paraguay's financial sector. By increasing access to finance for low-income groups and other priority sectors such as MSMEs."
"2208","Safetypay",33253,2013-05-03 04:00:00,"Latin America and the Caribbean","Safetypay creates an alternative online payment system that benefits merchants in countries with underdeveloped online payment systems and allows them to export their goods by selling them online. The company''s system provides banked low income consumers in developing countries the ability to benefit from the lower cost, greater transparency and wider availability of goods and services delivered by ecommerce from which they are otherwise excluded because they do not qualify for credit cards or credit cards are simply too expensive. The company''s system creates incentives to obtain bank accounts rather than just a prepaid card or another transactional payment service and thereby supports financial inclusion. As an investor the IFC can ensure that the benefits offered by Safetypay are increasingly made available to consumers and merchants in developing countries.Banks in developing countries which often do not generate much or any income from issuing credit cards and merchant acquiring (enabling merchants to accept credit cards) gain a new source of fee income and can monetize their online banking service. Safetypay is already working on technology that will enable unbanked customers to purchase goods online by obtaining vouchers from banks which generate fee income and cross selling opportunities for the banks and, again, creates an opportunity for financial inclusion."
"2209","Neo Gas",32938,2013-05-03 04:00:00,"Latin America and the Caribbean","Climate change mitigation: NEOgas'' primary business is the distribution of natural gas to areas where it is otherwise unavailable, resulting in the displacement of competing fuels such as fuel oil, gasoline and diesel, which are more polluting and with a much higher carbon impact per energy unit. Improved competitiveness of local companies located in frontier areas that are not serviced by the existing gas pipelines: NEOgas provides off-pipeline natural gas solutions to vehicular and industrial customers utilizing a proprietary technology that reduces capital and operational expenses to its customers: the average annual energy cost savings for industrial customers range from 40-60% depending on the location.Job creation: expansion of NEOgas operations will create quality employment opportunities in Peru, Brazil, Mexico and Colombia.Private sector development: the proposed Project will promote private sector participation in the regional natural gas distribution sector that is dominated by state owned companies in Brazil, Mexico and Colombia."
"2210","Kaiima",32746,2013-05-02 04:00:00,"Global","The Project is expected to have significant development impact by (i) increasing agricultural yields which will result in increased land use efficiency; (ii) developing seed alternatives that are adapted to climate extremes in emerging markets; (iii) creating a non-GMO product that requires fewer regulatory hurdles and thus can benefit smaller markets, including smallholder farmers in IDA countries; (iv) promoting the development of sustainable industrial oils and thereby reduce GHG emissions."
"2211","Bandelta",32395,2013-04-30 04:00:00,"Latin America and the Caribbean","IFC''s loan would help increase financing to underserved micro and small companies through a sector leader.Employment generation: Contribute to the creation of new jobs in the micro and small business segments, which typically provide the majority of employment in developing countries.Support transformation of MSMEs to the formal sector since lack of credit is the main barrier for an MSME to become formal."
"2212","Chad Clinic",32607,2013-04-30 04:00:00,"Africa","The Project will: (i) contribute to address the demand-gap for adequate heath facilities in Chad, thereby extending the healthcare services available in the country;(ii) raise the country health standards by supporting the leading player;(iii) create employment estimated at 85 positions;(iv) make readily available locally healthcare services for which Chadian are currently travelling abroad (Tunisia mostly)."
"2213","Activa Finances",31215,2013-04-30 04:00:00,"Africa","The development impact of IFC''s investment in Activa will be measured by the following metrics: (i) growth in insurance premiums, (ii) growth in sums insured, as well as (iii) the creation of new subsidiaries in other markets in a region characterized by very low levels of insurance penetration currently and (iv) the development of new products that should extend the reach of insurance cover in the markets concerned (micro-insurance, weather risk insurance for farmers, etc).  There will also be a strong demonstration effect by supporting a local entrepreneur who is building a regional group and has had some success already in creating a panafrican insurance alliance (Globus Network) as well a regional reinsurance platform (Globus Re)."
"2214","Project Martina",33272,2013-04-30 04:00:00,"Latin America and the Caribbean","The proposed transaction is expected to generate the following development impacts:- Increase the access to long term finance to farmers, Agri-SMEs and women-owned SMEs, which is highly needed in order for them to undertake capital investments;- Contribute to strengthen the food supply chain, job creation, productivity increase and rural economic development;- The proposed transaction would contribute to the formalization of Agri-SMEs and women-owned SMEs in the country as it will be a clear demonstration of the additional benefits such as having access to long-term financing at adequate terms in line with the business needs;- BI will comply with IFC''s E&S requirements and exclusion list in its underwriting process."
"2215","ABC Frontier",32730,2013-04-30 04:00:00,"Latin America and the Caribbean","The Project will increase access to finance to SMEs in the frontier regions of Brazil, which are underserved by the domestic financial markets. It will also help ABC Brasil to expand its reach to maintain and increase its lending to SMEs in frontier regions. Finally, the Bank will be required to design and implement an ESMS to screen all SME sub-projects against the IFC Exclusion List and the Brazilian E&S laws and regulations."
"2216","Unibank SME",33031,2013-04-30 04:00:00,"Europe","The development impact of the project is expected to be significant in terms of its support for local businesses in real economy.  By providing financing to the Bank, IFC will enable the Bank to expand its SME lending operations and provide commercial financing to businesses in a variety of sectors, therefore fostering economic growth through job creation. In addition, the project will have an important demonstration effect to other foreign investors. By enabling the Bank to expand its ""commercially-priced"" funding base, the project should have a meaningful contribution to building a viable banking system in Armenia."
"2217","Ghana BDC II",33071,2013-04-30 04:00:00,"Africa","(i) Alleviation of Fuel Shortages and Meeting Demand Growth:  IFC will support the largest fuel importer who is contributing to alleviation of fuel shortages. Given the empirical evidence of a high correlation between energy consumption and GDP growth and a direct relationship between the absence of adequate energy and many poverty indicators, the project has significant economic importance for the country.     (ii) Deepening Ghanaian Financial Markets: The project supplements the facilities offered by local banks and IFC''s GTFP program through providing additional cost effective trade finance solutions in Ghana.(iii) Private Sector Development: The facility is supporting Ghanaian private sector companies in a recently deregulated and growing sector."
"2218","Kurum International SH.A.",33378,2013-04-29 04:00:00,"Europe","The Project''s development impact is as follows: (i) In line with the World Bank Group strategy, supporting power sector reform by increasing the share of private sector in Albania''s overall electricity generation; (ii) Sending a strong signal demonstrating the WBG''s continued support to the market and to the GoA''s ongoing efforts to liberalize the power market and promote private sector participation; (iii) Facilitating the move towards the creation of a regional energy market in South Eastern Europe;(iv) Attracting regional players to the Albanian market and supporting south-south investments by financing Kurum Holding''s initiative in Albania. Through the above, the Project is expected to positively impact the fiscal and macroeconomic stability of Albania through increased foreign direct investment related to the payment of the privatization amount;(v) Climate change mitigation (increased clean energy generation by improving efficiencies); and(vi) Helping Turkish banks invest overseas under IFC B loan umbrella and thus supporting these banks'' entry to new markets in the region."
"2219","Property Development Company CJSC",32970,2013-04-29 04:00:00,"Europe","1)	Elevation of commercial real estate standards-throughout the country through development of a Class A office building;2)    Development of high quality business infrastructure in Armenia;3)	Direct and indirect employment of service jobs; possibility for further linkages;4)	Tax revenues will accrue to the government;5)     Implementation of green building standards and sound E&S policies as per IFC requirements"
"2220","Vento Brazil",33642,2013-04-26 04:00:00,"Latin America and the Caribbean","(i)	Increased generation of Renewable power: The GOB has set a target to increase the share of power generation attributed to Renewable energy sources in Brazil to 20 percent from current 12 percent of installed capacity. The Project is expected to help Brazil meet this target.(ii)	Contribution to Climate Change Mitigation: The Project helps mitigate adverse climate change impacts by helping Brazil achieve a balanced energy mix through the use of Renewable resources. With current operational projects and projects under development, the Company is expected to avoid approximately 700 thousand tons of CO2 emission annually by FY2018.(iii)	 Employment: The Project will generate additional local employment during construction (largely in Northeast Brazil) and permanent employment during operations. (iv)	 Private Sector Development in Renewable Energy: IFC''s investment is expected to help attract international investors to Renewable energy projects in Brazil which will facilitate the growth of private companies in this sector in Brazil."
"2221","FINCA GEORGIA",33331,2013-04-26 04:00:00,"Europe","- Increasing access to funding for underserved MSEs in poor and rural areas,- Creating a demonstration effect for other MFIs to diversify and to increase their LCY funding volumes and to manage their asset-liability positions better,- Contributing to economic growth and poverty reduction by helping to creat jobs."
